ROW	COL	DIFF %
200	200	-0.245155608
200	400	-0.236687677
200	600	-0.228491157
200	800	-0.224826562
200	1000	-0.22989316
400	200	-0.206731467
400	400	-0.191354516
400	600	-0.204082358
400	800	-0.186819384
400	1000	-0.181093449
600	200	-0.186682575
600	400	-0.166076805
600	600	-0.150955441
600	800	-0.132876514
600	1000	-0.182967353
800	200	-0.1779956
800	400	-0.154368716
800	600	-0.150600773
800	800	-0.158055934
800	1000	-0.18401487
1000	200	-0.201274379
1000	400	-0.153285285
1000	600	-0.174498148
1000	800	-0.178394858
1000	1000	-0.182078727
