ROW	COL	DIFF %
200	200	-0.262526253
200	400	-0.241222695
200	600	-0.23568423
200	800	-0.23817942
200	1000	-0.24850411
400	200	-0.212073641
400	400	-0.218329525
400	600	-0.202926341
400	800	-0.184473968
400	1000	-0.183783119
600	200	-0.176403609
600	400	-0.178741692
600	600	-0.169087027
600	800	-0.160645123
600	1000	-0.187638174
800	200	-0.192339556
800	400	-0.152122469
800	600	-0.162848437
800	800	-0.174591319
800	1000	-0.19204165
1000	200	-0.194636179
1000	400	-0.152964884
1000	600	-0.16814537
1000	800	-0.183571213
1000	1000	-0.189766464
