ROW	COL	DIFF %
200	200	-0.254945055
200	400	-0.248596005
200	600	-0.241503746
200	800	-0.234310793
200	1000	-0.26530395
400	200	-0.216870863
400	400	-0.215183217
400	600	-0.218852515
400	800	-0.18119365
400	1000	-0.196531363
600	200	-0.197073083
600	400	-0.179880765
600	600	-0.172067535
600	800	-0.171885267
600	1000	-0.189120852
800	200	-0.194619992
800	400	-0.147289591
800	600	-0.153309365
800	800	-0.171879152
800	1000	-0.195689359
1000	200	-0.172560924
1000	400	-0.166907184
1000	600	-0.176648382
1000	800	-0.177998928
1000	1000	-0.207473526
