ROW	COL	DIFF %
200	200	-0.272010512
200	400	-0.245364779
200	600	-0.238090917
200	800	-0.235618973
200	1000	-0.269879263
400	200	-0.207454739
400	400	-0.198692518
400	600	-0.209067008
400	800	-0.18496848
400	1000	-0.192828377
600	200	-0.193765032
600	400	-0.194460732
600	600	-0.170082719
600	800	-0.172640298
600	1000	-0.188947413
800	200	-0.169916664
800	400	-0.155852201
800	600	-0.171984805
800	800	-0.164187055
800	1000	-0.196704257
1000	200	-0.171855674
1000	400	-0.151233579
1000	600	-0.168672787
1000	800	-0.194895573
1000	1000	-0.202361524
